storage_nodes,rtt_us_effective,workload,concurrency,op_size,seconds,published_mbps,stream_append_p50_us,stream_append_p99_us,stream_publish_p50_us,stream_publish_p99_us,published_bytes,artifact
4,700,native-stream-publish-at-end-4m,32,4194304,2.774181,6192.77,5026.921,7858.855,2098021.136,2323358.089,17179869184,native-s4-rtt700/matrix.csv
4,700,native-stream-publish-at-end-4m,64,4194304,5.225442,6575.47,8008.852,20828.955,4033133.068,4558746.846,34359738368,native-s4-rtt700/matrix.csv
4,700,native-stream-publish-at-end-32m,16,33554432,1.754440,4896.11,45185.466,48922.845,1026625.016,1064754.539,8589934592,native-s4-rtt700/matrix.csv
4,700,native-stream-publish-at-end-32m,32,33554432,3.350900,5126.94,79557.011,104970.697,2056674.591,2207025.861,17179869184,native-s4-rtt700/matrix.csv
4,700,native-stream-publish-at-end-32m,64,33554432,5.671705,6058.10,96435.801,172361.277,3922315.835,4621578.739,34359738368,native-s4-rtt700/matrix.csv
4,700,native-stream-publish-barrier-at-end-4m,16,4194304,1.643692,5226.00,3741.351,5619.405,1135885.984,1135911.160,8589934592,native-s4-rtt700/matrix.csv
4,700,native-stream-publish-barrier-at-end-4m,32,4194304,3.137824,5475.09,5726.978,9049.614,2267627.077,2267686.657,17179869184,native-s4-rtt700/matrix.csv
4,700,native-stream-publish-barrier-at-end-4m,64,4194304,5.818150,5905.61,8621.221,16838.047,4541162.485,4541761.184,34359738368,native-s4-rtt700/matrix.csv
4,700,native-stream-publish-barrier-at-end-32m,16,33554432,1.869022,4595.95,45429.953,49036.051,1137698.794,1137738.272,8589934592,native-s4-rtt700/matrix.csv
4,700,native-stream-publish-barrier-at-end-32m,32,33554432,3.573724,4807.27,74319.749,97990.920,2268367.341,2268416.193,17179869184,native-s4-rtt700/matrix.csv
4,700,native-stream-publish-barrier-at-end-32m,64,33554432,6.456419,5321.80,106039.130,184615.903,4539829.217,4540283.898,34359738368,native-s4-rtt700/matrix.csv
4,700,native-stream-publish-interval-4m,16,4194304,1.429221,6010.22,3304.450,5751.657,214360.906,373937.213,8589934592,native-s4-rtt700/matrix.csv
4,700,native-stream-publish-interval-4m,32,4194304,2.741223,6267.23,5241.060,8923.351,532050.043,656686.173,17179869184,native-s4-rtt700/matrix.csv
4,700,native-stream-publish-interval-4m,64,4194304,5.092148,6747.59,6682.179,20880.012,1063309.188,1247289.732,34359738368,native-s4-rtt700/matrix.csv
4,700,native-stream-publish-interval-32m,16,33554432,1.670658,5141.65,44581.040,57264.153,280052.362,386716.178,8589934592,native-s4-rtt700/matrix.csv
4,700,native-stream-publish-interval-32m,32,33554432,3.163750,5430.22,68485.559,99061.698,515266.726,843398.725,17179869184,native-s4-rtt700/matrix.csv
4,700,native-stream-publish-interval-32m,64,33554432,5.559942,6179.87,74141.595,211691.409,1025341.745,1258858.967,34359738368,native-s4-rtt700/matrix.csv
